id,name,slug,title,description,category,rarity,targetValue,iconUrl,isActive,autoAward,manualOnly,isShame,sortOrder,ruleData,ruleComplexity,rulePerformanceScore,lastRuleValidation,createdAt,updatedAt
11,Chief Musk Whisperer,chief-musk-whisperer,Chief Musk Whisperer,Finish #1 on the weekly leaderboard,leaderboard,legendary,1,,t,t,f,f,201,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""isFirst"": true}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.639,2025-09-06 07:05:15.244
12,Rocket Fumbler,rocket-fumbler,Rocket Fumbler,Finish last place on weekly leaderboard (among active bettors),leaderboard,uncommon,1,,t,t,f,f,202,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""previousRank <="": 10}, {""rank >="": 50}, {""isImprovement"": false}]}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.639,2025-09-06 07:05:15.251
13,Whale of Wall Street,whale-of-wall-street,Whale of Wall Street,Have the largest single-day profit site-wide,leaderboard,legendary,1,,t,t,f,f,203,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""rank <="": 3}, {""profitAll >="": 1000000}]}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.64,2025-09-06 07:05:15.253
14,Clown of the Week,clown-of-the-week,Clown of the Week,Place the single biggest losing bet of the week,leaderboard,legendary,1,,t,t,f,f,204,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""rank >="": 90}, {""profitAll <"": 0}]}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.64,2025-09-06 07:05:15.246
15,Prophet of Mars,prophet-of-mars,Prophet of Mars,Create a prediction that receives over 100 bets,prediction,legendary,100,,t,t,f,f,300,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""outcome"": ""correct""}}, ""eventKeys"": [""prediction:resolved""], ""unlockWhen"": {""progress >="": 50}}",0,0,,2025-08-15 02:39:57.641,2025-09-06 07:00:55.67
16,Chaos Agent,chaos-agent,Chaos Agent,Have 10 predictions approved by admins,prediction,rare,10,,t,t,f,f,301,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""prediction:approved""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-15 02:39:57.642,2025-09-06 03:03:40.303
17,Trendsetter,trendsetter,Trendsetter,First to create prediction about an event that actually happens,prediction,rare,1,,t,f,t,f,302,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""prediction:approved""], ""unlockWhen"": {""progress >="": 50}}",0,0,,2025-08-15 02:39:57.642,2025-09-06 07:00:55.669
18,Cursed Predictor,cursed-predictor,Cursed Predictor,Five of your created predictions resolve in unexpected ways,prediction,uncommon,5,,t,t,f,f,303,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""outcome"": ""incorrect""}}, ""eventKeys"": [""prediction:resolved""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-15 02:39:57.643,2025-09-06 07:00:55.672
19,Musk Whisperer,musk-whisperer,Musk Whisperer,Create prediction about Elon that resolves correctly within 24h,prediction,rare,1,,t,t,f,f,304,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""category"": ""elon""}}, ""eventKeys"": [""prediction:created""], ""unlockWhen"": {""progress >="": 20}}",0,0,,2025-08-15 02:39:57.643,2025-09-06 07:00:55.671
20,Keyboard Warrior,keyboard-warrior,Keyboard Warrior,"Send 1,000 messages in global chat",chat,rare,1000,,t,t,f,f,400,"{""counters"": [""chatMessages""], ""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""chat:message:sent""], ""unlockWhen"": {""counter >="": {""key"": ""chatMessages"", ""value"": 1000}}}",0,0,,2025-08-15 02:39:57.644,2025-09-06 10:16:04.946
21,Chief Shitposter,chief-shitposter,Chief Shitposter,Get 50+ upvotes on a single profile post,chat,rare,50,,t,t,f,f,401,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""post:reaction""], ""unlockWhen"": {""progress >="": 50}}",0,0,,2025-08-15 02:39:57.645,2025-09-06 07:00:55.659
22,Reply Guy,reply-guy,Reply Guy,Comment on 50 different user profile posts,chat,rare,50,,t,t,f,f,402,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""comment:created""], ""unlockWhen"": {""progress >="": 50}}",0,0,,2025-08-15 02:39:57.645,2025-09-06 07:00:55.665
23,Community Meme Lord,community-meme-lord,Community Meme Lord,Post a meme that gets 100+ upvotes,chat,rare,100,,t,t,f,f,403,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""post:reaction""], ""unlockWhen"": {""progress >="": 100}}",0,0,,2025-08-15 02:39:57.646,2025-09-06 07:00:55.66
24,Elon Reply Intern,elon-reply-intern,Elon Reply Intern,Be the first to reply to an AI Elon tweet,chat,rare,1,,t,t,f,f,404,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""chat:message:sent""], ""unlockWhen"": {""progress >="": 50}}",0,0,,2025-08-15 02:39:57.646,2025-09-06 07:00:55.662
25,Free Speech Absolutist,free-speech-absolutist,Free Speech Absolutist,Send 100+ messages in a single thread,chat,rare,100,,t,t,f,f,405,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""thread:participation""], ""unlockWhen"": {""progress >="": 100}}",0,0,,2025-08-15 02:39:57.647,2025-09-06 07:00:55.663
26,Consistent Gambler,consistent-gambler,Consistent Gambler,Place at least one bet every day for 30 days straight,participation,uncommon,30,,t,t,f,f,500,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""progress >="": 30}}",0,0,,2025-08-15 02:39:57.647,2025-09-06 07:12:11.857
27,Late Stage Capitalist,late-stage-capitalist,Late Stage Capitalist,"Earn 5,000,000 lifetime MuskBucks through betting",participation,uncommon,5000000,,t,t,f,f,501,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""balance >="": 100000}}, ""eventKeys"": [""user:balance:snapshot""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.648,2025-09-06 07:12:11.861
28,Early Adopter,early-adopter,Early Adopter,Joined within the first 30 days of launch,participation,uncommon,1,,t,t,f,f,502,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""registeredBefore"": ""2024-01-01""}}, ""eventKeys"": [""user:created""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.649,2025-09-06 07:12:11.86
29,Conspiracy Theorist,conspiracy-theorist,Conspiracy Theorist,Participate in 50+ different predictions,participation,uncommon,50,,t,t,f,f,503,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""category"": ""conspiracy""}}, ""eventKeys"": [""prediction:created""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-15 02:39:57.649,2025-09-06 07:12:11.858
30,Ultimate Degenerate,ultimate-degenerate,Ultimate Degenerate,Place 500+ bets in your lifetime,participation,uncommon,500,,t,t,f,f,504,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""totalBets >="": 1000}, {""totalWagered >="": 5000000}]}}, ""eventKeys"": [""user:balance:snapshot""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.65,2025-09-06 07:12:11.864
31,Bug Hunter,bug-hunter,Bug Hunter,Report a bug that gets fixed by the development team,participation,uncommon,1,,t,f,t,f,505,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""action"": ""bug_report_confirmed""}}, ""eventKeys"": [""admin:action""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.65,2025-09-06 07:12:11.855
36,Cult Leader,cult-leader,Cult Leader,Build an impressive following through charismatic predictions,secret,secret,1,,t,f,t,f,700,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""followerCount >="": 1000}}, ""eventKeys"": [""user:followers:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.653,2025-09-06 07:08:18.109
37,Banhammer Survivor,banhammer-survivor,Banhammer Survivor,Return from a temporary ban stronger than ever,secret,secret,1,,t,f,t,f,701,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""action"": ""unban""}}, ""eventKeys"": [""user:moderation:action""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.654,2025-09-06 07:08:18.116
38,True Visionary,true-visionary,True Visionary,Demonstrate exceptional foresight in multiple predictions,secret,secret,1,,t,f,t,f,702,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""outcome"": ""correct""}, {""odds >="": 100}, {""isVisionaryPrediction"": true}]}}, ""eventKeys"": [""prediction:resolved""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.654,2025-09-06 07:08:18.115
39,Rocket Man,rocket-man,Rocket Man,Show deep understanding of SpaceX and space technology,secret,secret,1,,t,f,t,f,703,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""action"": ""spacex_achievement""}}, ""eventKeys"": [""admin:action""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.655,2025-09-06 07:08:18.114
40,Dumpster Fire Aficionado,dumpster-fire-aficionado,Dumpster Fire Aficionado,Master of predicting spectacular corporate failures,secret,secret,1,,t,f,t,f,704,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""netProfit <="": -1000000}, {""totalBets >="": 100}]}}, ""eventKeys"": [""user:balance:snapshot""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.656,2025-09-06 07:08:18.111
41,Perma-banned Legend,perma-banned-legend,Perma-banned Legend,Received a permanent ban from the platform,shame,shame,1,,t,t,f,t,800,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""action"": ""ban""}, {""isPermanent"": true}]}}, ""eventKeys"": [""user:moderation:action""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.656,2025-09-06 07:08:18.117
42,One Week Timeout,one-week-timeout,One Week Timeout,Served a 7-day temporary ban,shame,shame,7,,t,t,f,t,801,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""action"": ""ban""}, {""duration >="": 7}]}}, ""eventKeys"": [""user:moderation:action""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.657,2025-09-06 07:08:18.117
43,Community Menace,community-menace,Community Menace,Banned 3 or more times for disruptive behavior,shame,shame,3,,t,t,f,t,802,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""action"": ""warning""}}, ""eventKeys"": [""user:moderation:action""], ""unlockWhen"": {""progress >="": 5}}",0,0,,2025-08-15 02:39:57.657,2025-09-06 07:08:18.116
44,Scammer of MuskBucks,scammer-of-muskbucks,Scammer of MuskBucks,Attempted to exploit the MuskBucks system,shame,shame,1,,t,f,t,t,803,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""action"": ""scammer_flagged""}}, ""eventKeys"": [""admin:action""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-15 02:39:57.658,2025-09-06 07:08:18.118
48,Defies Probability,defies-probability,Defies Probability,Win a bet placed at implied odds <5%,betting,legendary,5,,t,t,f,f,107,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""odds >="": 20}}, ""eventKeys"": [""bet:won"", ""parlay:won""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.226,2025-09-06 03:03:40.285
49,Statistical Anomaly,statistical-anomaly,Statistical Anomaly,Win a bet placed at implied odds <1%,betting,legendary,1,,t,t,f,f,108,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""odds >="": 100}}, ""eventKeys"": [""bet:won"", ""parlay:won""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.229,2025-09-06 03:03:40.298
52,First Bet,first-bet,First Bet,Place your first bet,betting,common,1,,t,t,f,f,111,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.23,2025-08-16 00:31:15.23
54,Losing Spiral,losing-spiral,Losing Spiral,Lose 10 bets in a row,betting,rare,10,,t,t,f,f,113,"{""progress"": {""kind"": ""streak"", ""resetIf"": {""won"": true}, ""incrementIf"": {""won"": false}}, ""eventKeys"": [""bet:won"", ""bet:lost"", ""parlay:won"", ""parlay:lost""], ""unlockWhen"": {""progress >="": 15}}",0,0,,2025-08-16 00:31:15.232,2025-09-06 03:03:40.289
55,Billionaire on Paper,billionaire-on-paper,Billionaire on Paper,"Reach ≥1,000,000,000 MuskBucks lifetime net profit",betting,legendary,1000000000,,t,t,f,f,114,"{""progress"": {""kind"": ""threshold"", ""setIf"": {""netProfit"": ""$.netProfit""}}, ""eventKeys"": [""user:balance:snapshot""], ""unlockWhen"": {""progress >="": 1000000000}}",0,0,,2025-08-16 00:31:15.232,2025-09-06 03:03:40.281
56,Burnt a Billion,burnt-a-billion,Burnt a Billion,"Accumulate ≥1,000,000,000 MuskBucks in total losses",betting,legendary,1000000000,,t,t,f,f,115,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""totalLost >="": 1000000000}}, ""eventKeys"": [""user:balance:snapshot""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.233,2025-09-06 03:03:40.282
57,Parlay Architect,parlay-architect,Parlay Architect,Win a parlay with 5 or more legs,betting,rare,5,,t,t,f,f,116,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""legCount >="": 5}}, ""eventKeys"": [""parlay:won""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.233,2025-09-06 03:03:40.294
58,Galaxy Brain Parlay,galaxy-brain-parlay,Galaxy Brain Parlay,Win a parlay with 7 or more legs,betting,legendary,7,,t,t,f,f,117,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""legCount >="": 5}}, ""eventKeys"": [""parlay:won""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.233,2025-09-06 03:03:40.288
59,Grinder 500,grinder-500,Grinder 500,Place 500 bets,betting,rare,500,,t,t,f,f,118,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""progress >="": 500}}",0,0,,2025-08-16 00:31:15.234,2025-09-06 03:03:40.289
60,Hot Hand,hot-hand,Hot Hand,Win 5 bets in a row,betting,uncommon,5,,t,t,f,f,119,"{""progress"": {""kind"": ""streak"", ""resetIf"": {""won"": false}, ""incrementIf"": {""won"": true}}, ""eventKeys"": [""bet:won"", ""bet:lost"", ""parlay:won"", ""parlay:lost""], ""unlockWhen"": {""progress >="": 5}}",0,0,,2025-08-16 00:31:15.234,2025-08-16 00:31:15.234
62,Podium Finisher,podium-finisher,Podium Finisher,Finish in the weekly top 3,leaderboard,rare,3,,t,t,f,f,203,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""rank <="": 3}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.235,2025-09-06 03:03:40.305
63,On the Board,on-the-board,On the Board,Finish in the weekly top 10,leaderboard,rare,10,,t,t,f,f,204,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""rank <="": 100}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.235,2025-09-06 03:03:40.304
66,Comeback Kid,comeback-kid,Comeback Kid,Climb from bottom half midweek to a top-3 weekly finish,leaderboard,rare,1,,t,t,f,f,207,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""previousRank >="": 25}, {""rank <="": 5}, {""isImprovement"": true}]}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.237,2025-09-06 07:05:15.248
69,Volume Leader,volume-leader,Volume Leader,Place the most bets this week,leaderboard,rare,1,,t,t,f,f,210,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""rank <="": 10}, {""totalBets >="": 1000}]}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.238,2025-09-06 07:05:15.252
70,Parlay King,parlay-king,Parlay King,Record the highest parlay payout of the week,leaderboard,rare,1,,t,t,f,f,211,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""rank <="": 5}, {""totalBets >="": 100}]}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.238,2025-09-06 07:05:15.251
76,Crowd Favorite,crowd-favorite,Crowd Favorite,Your prediction receives ≥20 bets,prediction,common,20,,t,t,f,f,305,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""totalBetsOnPrediction >="": 20}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.24,2025-09-06 07:00:55.673
77,Media Magnet,media-magnet,Media Magnet,Your prediction receives ≥500 bets,prediction,legendary,500,,t,t,f,f,306,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""progress >="": 500}}",0,0,,2025-08-16 00:31:15.241,2025-09-06 07:00:55.674
78,Fast and Right,fast-and-right,Fast and Right,Your prediction resolves correctly within 2 hours of approval,prediction,legendary,2,,t,t,f,f,307,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""outcome"": ""correct""}, {""resolutionTimeHours <="": 24}]}}, ""eventKeys"": [""prediction:resolved""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.241,2025-09-06 07:00:55.672
79,Typing Titan,typing-titan,Typing Titan,"Send 5,000 messages in global chat",chat,rare,5000,,t,t,f,f,401,"{""counters"": [""chatMessages""], ""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""chat:message:sent""], ""unlockWhen"": {""counter >="": {""key"": ""chatMessages"", ""value"": 5000}}}",0,0,,2025-08-16 00:31:15.241,2025-09-06 10:16:04.95
80,Chat Fiend,chat-fiend,Chat Fiend,"Send 10,000 messages in global chat",chat,legendary,10000,,t,t,f,f,402,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""chat:message:sent""], ""unlockWhen"": {""progress >="": 10000}}",0,0,,2025-08-16 00:31:15.242,2025-09-06 10:16:04.951
86,Upvote Magnet,upvote-magnet,Upvote Magnet,Get 100+ upvotes on any single post,chat,rare,100,,t,t,f,f,415,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""post:reaction""], ""unlockWhen"": {""progress >="": 100}}",0,0,,2025-08-16 00:31:15.243,2025-09-06 07:00:55.667
87,Viral Sensation,viral-sensation,Viral Sensation,Get 250+ upvotes on any single post,chat,legendary,250,,t,t,f,f,416,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""post:reaction""], ""unlockWhen"": {""progress >="": 250}}",0,0,,2025-08-16 00:31:15.244,2025-09-06 07:00:55.667
88,Commentator,commentator,Commentator,Write 250 comments across profile posts,chat,uncommon,250,,t,t,f,f,417,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""comment:created""], ""unlockWhen"": {""progress >="": 250}}",0,0,,2025-08-16 00:31:15.244,2025-09-06 07:00:55.659
89,Thread Starter,thread-starter,Thread Starter,Create 50 profile posts,chat,uncommon,50,,t,t,f,f,418,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""chat:message:sent""], ""unlockWhen"": {""progress >="": 25}}",0,0,,2025-08-16 00:31:15.244,2025-09-06 07:00:55.665
98,Profile Complete,profile-complete,Profile Complete,Set an avatar and display name,participation,common,1,,t,t,f,f,552,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""profileComplete"": true}}, ""eventKeys"": [""user:profile:updated""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.248,2025-09-06 07:12:11.862
102,Daily Visit Streak,daily-visit-streak,Daily Visit Streak,Log in 7 days in a row,participation,common,7,,t,t,f,f,556,"{""progress"": {""kind"": ""streak"", ""resetIf"": {""visitedToday"": false}, ""incrementIf"": {""visitedToday"": true}}, ""eventKeys"": [""user:visit:daily""], ""unlockWhen"": {""progress >="": 30}}",0,0,,2025-08-16 00:31:15.25,2025-09-06 07:12:11.859
103,Chaos Newsletter,chaos-newsletter,Chaos Newsletter,Subscribe to the site's newsletter,participation,common,1,,t,t,f,f,557,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""action"": ""subscribed""}}, ""eventKeys"": [""user:newsletter:action""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.25,2025-09-06 07:12:11.856
108,Site Legend,site-legend,Site Legend,Manual award for legendary contributions to the community,secret,secret,1,,t,f,t,f,705,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""action"": ""legend_status""}}, ""eventKeys"": [""admin:action""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-16 00:31:15.252,2025-09-06 07:08:18.114
154,First Timer,first-timer,First Timer,Place your very first bet,betting,common,1,,t,t,f,f,109,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.137,2025-09-06 03:03:40.287
155,Betting Machine,betting-machine,Betting Machine,Place 100 total bets,betting,uncommon,100,,t,t,f,f,110,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""progress >="": 100}}",0,0,,2025-08-23 02:26:08.137,2025-09-06 03:03:40.28
156,Whale Bettor,whale-bettor,Whale Bettor,"Place a bet worth 500,000+ MuskBucks",betting,legendary,500000,,t,t,f,f,111,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""amount >="": 500000}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.138,2025-09-06 03:03:40.3
157,Comeback King,comeback-king,Comeback King,Win after being down 90% of your bankroll,betting,rare,1,,t,t,f,f,112,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""balanceRatio <="": 0.1}, {""changeAmount >"": 0}, {""changeReason"": ""bet_won""}]}}, ""eventKeys"": [""user:balance:snapshot""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.138,2025-09-06 03:03:40.283
158,Diversified Gambler,diversified-gambler,Diversified Gambler,Place bets in 10 different prediction categories,betting,uncommon,10,,t,t,f,f,113,"{""progress"": {""kind"": ""count"", ""counters"": [""uniqueCategories""], ""incrementIf"": {}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""counters.uniqueCategories >="": 10}}",0,0,,2025-08-23 02:26:08.138,2025-09-06 03:03:40.286
